Country/Area,Good,Child Labor,Forced Labor,Forced Child Labor
Venezuela,Gold,1,1,0
Vietnam,Bricks,1,0,0
Vietnam,Cashews,1,0,0
Vietnam,Coffee,1,0,0
Vietnam,Fish,1,0,0
Vietnam,Footwear,1,0,0
Vietnam,Furniture,1,0,0
Vietnam,Garments,1,1,0
Vietnam,Leather,1,0,0
Vietnam,Pepper,1,0,0
Vietnam,Rice,1,0,0
Vietnam,Rubber,1,0,0
Vietnam,Sugarcane,1,0,0
Vietnam,Tea,1,0,0
Vietnam,Textiles,1,0,0
Vietnam,Timber,1,0,0
Vietnam,Tobacco,1,0,0
Yemen,Fish,1,0,0
Zambia,Cattle,1,0,0
Zambia,Copper Ore,1,0,0
Zambia,Cotton,1,0,0
Zambia,Gems,1,0,0
Zambia,Manganese,1,0,0
Zambia,Stones,1,0,0
Zambia,Tobacco,1,0,0
Zimbabwe,Gold,1,0,0
Zimbabwe,Lithium,1,0,0
Zimbabwe,Sugarcane,1,0,0
Zimbabwe,Tobacco,1,0,0
